rank,university,city
935,Davenport University,Grand Rapids ...
880,Cambridge College,Boston ...
958,Springfield College,Springfield
834,Norfolk State University,Norfolk
811,Queens University of Charlotte,Charlotte
729,Wentworth Institute of Technology,Boston
861,Gwynedd Mercy University,Gwynedd Valley
785,Wittenberg University,Springfield
823,Meredith College,Raleigh
832,Indiana University South Bend,South Bend ...
893,Whitworth University,Spokane
860,King University,Bristol
818,Union University,Jackson
869,ECPI University,Virginia Beach
846,Curtis Institute of Music,Philadelphia
828,East Stroudsburg University,East Stroudsburg
843,Bemidji State University,Bemidji
831,Mercyhurst University,Erie
830,University of Lynchburg,Lynchburg
996,The City College of New York,New York City
882,Western Colorado University,Gunnison
824,Salve Regina University,Newport ...
904,Eastern New Mexico University,Portales
805,Point Park University,Pittsburgh
844,Morehouse School of Medicine,Atlanta
911,Northwood University,Midland ...
853,Clayton State University,Morrow
762,Colorado Technical University,Colorado Springs ...
931,University of the Sciences in Philadelphia,Philadelphia
990,Purdue University Northwest,Hammond
850,St. Ambrose University,Davenport
819,Edinboro University of Pennsylvania,Edinboro
847,Dallas Baptist University,Dallas
862,Aurora University,Aurora ...
867,Eastern University,St. Davids
815,Lebanon Valley College,Annville
841,Fisk University,Nashville
837,San Francisco Art Institute,San Francisco
839,United States Merchant Marine Academy,Kings Point ...
842,Manhattanville College,Purchase
845,Husson University,Bangor
909,Bank Street College of Education,New York City
838,Guilford College,Greensboro
836,University of North Carolina School of the Arts,Winston-Salem
884,Vincennes University,Vincennes
822,Southeastern University,Lakeland
903,Penn State College of Medicine,Hershey
810,Farmingdale State College,Farmingdale
858,Gannon University,Erie
854,University of Hawaii at Hilo,Hilo
863,Albany Medical College,Albany
866,Charleston Southern University,Charleston
757,Midwestern University,Downers Grove ...
876,Lycoming College,Williamsport
1069,Quincy University,Quincy
959,College of the Ozarks,Point Lookout
833,Keiser University,Fort Lauderdale
949,College for Creative Studies,Detroit
872,Indiana University Southeast,New Albany
888,College of the Atlantic,Bar Harbor
879,Winston-Salem State University,Winston-Salem
890,Delta State University,Cleveland
857,DeSales University,Center Valley
943,Bridgewater College,Bridgewater
875,Augustana University,Sioux Falls
786,Auburn University at Montgomery,Montgomery
906,Dordt University,Sioux Center
840,Houston Baptist University,Houston
859,Alvernia University,Reading
849,Taylor University,Upland ...
1023,John Jay College of Criminal Justice,New York City
868,Pacific Union College,Angwin
871,Belhaven University,Jackson
873,Texas A&M University at Galveston,Galveston
924,Montana State University Billings,Billings
865,Centenary College of Louisiana,Shreveport
870,Eastern Oregon University,La Grande
852,Virginia State University,Petersburg
835,Florida State College at Jacksonville,Jacksonville
848,Northwestern State University of Louisiana,Natchitoches
919,University of St. Thomas,Houston
829,Endicott College,Beverly
891,South Carolina State University,Orangeburg
894,Warren Wilson College,Swannanoa
851,Baker University,Baldwin City
910,Cameron University,Lawton ...
948,State College of Florida-Manatee-Sarasota,Bradenton
898,Hampden-Sydney College,Hampden-Sydney
902,Life University,Marietta
892,Lewis-Clark State College,Lewiston ...
975,Lee University,Cleveland
1051,Monroe College,The Bronx ...
827,Alliant International University,San Diego ...
984,Southwestern Law School,Los Angeles
895,Shepherd University,Shepherdstown
922,Manchester University,North Manchester ...
969,Bethune-Cookman University,Daytona Beach
881,Campbellsville University,Campbellsville
963,Bowie State University,Bowie
874,Alabama State University,Montgomery
896,New England Conservatory,Boston
937,Manhattan School of Music,New York City
900,Lincoln Memorial University,Harrogate
979,The American College of Financial Services,Bryn Mawr
913,Concordia University Irvine,Irvine
905,Southern University and A&M College,Baton Rouge
930,Western New Mexico University,Silver City
938,University of South Carolina-Upstate,Spartanburg
897,Southern Nazarene University,Bethany ...
936,Grambling State University,Grambling
908,Austin College,Sherman
912,Fresno Pacific University,Fresno ...
864,Hiram College,Hiram
899,Georgetown College,Georgetown
932,Hollins University,Roanoke
886,Emmanuel College,Boston
923,Saint Xavier University,Chicago
889,Nazareth College,Rochester
955,Misericordia University,Dallas
945,Molloy College,Rockville Centre
1000,Metropolitan State University,Saint Paul
921,"Anderson University, Indiana",Anderson ...
914,Saint Mary's College,Notre Dame ...
1003,D'Youville College,Buffalo
953,Lincoln University,Lincoln University
944,Central College,Pella
981,Adams State University,Alamosa
946,New York Medical College,Valhalla
947,Alabama A&M University,Huntsville
952,Wagner College,Staten Island
907,University of St. Francis,Joliet
970,Mount St. Mary's University,Emmitsburg ...
986,Herzing University,Madison
920,Brandman University,Irvine
962,Coe College,Cedar Rapids
933,The Sage Colleges,Troy ...
1127,Rosemont College,Rosemont
939,Indiana University Northwest,Gary
916,MCPHS University,Boston ...
918,Spring Arbor University,Spring Arbor
1046,North Carolina Wesleyan College,Rocky Mount ...
992,Louisiana State University in Shreveport,Shreveport ...
978,Brenau University,Gainesville
951,John Brown University,Siloam Springs
925,McKendree University,Lebanon
965,Paul Smith's College,Paul Smiths
977,California University of Pennsylvania,California
967,Trinity International University,Deerfield ...
982,Edgewood College,Madison
976,Nicholls State University,Thibodaux
1020,Colorado State University-Pueblo,Pueblo ...
942,Alma College,Alma
997,Polk State College,Winter Haven
956,Moody Bible Institute,Chicago
960,Saint Vincent College,Latrobe
988,Franciscan University of Steubenville,Steubenville
934,Oklahoma Christian University,Edmond ...
1009,Boston Architectural College,Boston
1063,Whitman College,Walla Walla
950,Southwest Minnesota State University,Marshall
1062,City University of Seattle,Seattle ...
991,Curry College,Milton
915,Alverno College,Milwaukee
954,Framingham State University,Framingham
901,Saint Martin's University,Lacey
1018,Mount St. Joseph University,Cincinnati
1039,Southwestern Oklahoma State University,Weatherford ...
989,Carroll College,Helena
1019,Chaminade University of Honolulu,Honolulu
929,Berkeley College,New York City ...
966,Daemen College,Amherst
974,Buena Vista University,Storm Lake
972,Bennett College,Greensboro
1002,Wilmington University,New Castle ...
926,Aquinas College,Grand Rapids
1011,Spring Hill College,Mobile
928,Gardner-Webb University,Boiling Springs ...
1004,Henderson State University,Arkadelphia
980,New College of Florida,Sarasota
1024,Georgia Gwinnett College,Lawrenceville
993,Doane University,Crete
971,Grace College,Winona Lake ...
964,Albright College,Reading
1005,University of Dubuque,Dubuque
957,Simpson College,Indianola
1021,The University of Texas Permian Basin,Odessa
